#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS: 200  20
# Band-Index    1
   4.26068     -6.106260     -6.106260
   4.24885     -6.105236     -6.105237
   4.23702     -6.104121     -6.104121
   4.22519     -6.102929     -6.102929
   4.21336     -6.101656     -6.101656
   4.20153     -6.100305     -6.100305
   4.18970     -6.098789     -6.098789
   4.17787     -6.097286     -6.097286
   4.16604     -6.103194     -6.103194
   4.15421     -6.114008     -6.114008
   4.15421     -6.114008     -6.114008
   4.13156     -6.128062     -6.128062
   4.10891     -6.141688     -6.141688
   4.08626     -6.154973     -6.154973
   4.06361     -6.167762     -6.167762
   4.04095     -6.179622     -6.179622
   4.01830     -6.190633     -6.190633
   3.99565     -6.200347     -6.200347
   3.97300     -6.208868     -6.208868
   3.95035     -6.215992     -6.215992
   3.92770     -6.221482     -6.221482
   3.90504     -6.225073     -6.225073
   3.88239     -6.226787     -6.226787
   3.85974     -6.226897     -6.226897
   3.83709     -6.225069     -6.225069
   3.81444     -6.221683     -6.221683
   3.79179     -6.217529     -6.217529
   3.76913     -6.213367     -6.213367
   3.74648     -6.209915     -6.209915
   3.72383     -6.207968     -6.207968
   3.70118     -6.207968     -6.207968
   3.67853     -6.209915     -6.209915
   3.65588     -6.213367     -6.213367
   3.63322     -6.217529     -6.217529
   3.61057     -6.221683     -6.221683
   3.58792     -6.225069     -6.225069
   3.56527     -6.226897     -6.226897
   3.54262     -6.226787     -6.226787
   3.51997     -6.225073     -6.225073
   3.49731     -6.221482     -6.221482
   3.47466     -6.215992     -6.215992
   3.45201     -6.208868     -6.208868
   3.42936     -6.200347     -6.200347
   3.40671     -6.190633     -6.190633
   3.38406     -6.179622     -6.179622
   3.36140     -6.167762     -6.167762
   3.33875     -6.154973     -6.154973
   3.31610     -6.141688     -6.141688
   3.29345     -6.128062     -6.128062
   3.27080     -6.114008     -6.114008
   3.27080     -6.114008     -6.114008
   3.24122     -6.133585     -6.133585
   3.21165     -6.153339     -6.153339
   3.18208     -6.172364     -6.172364
   3.15250     -6.189689     -6.189689
   3.12293     -6.204318     -6.204318
   3.09336     -6.214776     -6.214776
   3.06378     -6.219300     -6.219300
   3.03421     -6.216972     -6.216972
   3.00463     -6.206153     -6.206153
   2.97506     -6.186275     -6.186275
   2.94549     -6.156778     -6.156778
   2.91591     -6.118158     -6.118158
   2.88634     -6.072230     -6.072230
   2.85677     -6.020676     -6.020676
   2.82719     -6.008361     -6.008361
   2.79762     -6.002900     -6.002900
   2.76805     -5.998056     -5.998056
   2.73847     -5.994281     -5.994281
   2.70890     -5.991216     -5.991216
   2.67932     -5.989981     -5.989981
   2.64975     -5.990173     -5.990173
   2.62018     -5.991527     -5.991527
   2.59060     -5.994286     -5.994286
   2.56103     -5.998376     -5.998376
   2.53146     -6.003337     -6.003337
   2.50188     -6.009148     -6.009148
   2.47231     -6.015608     -6.015608
   2.44274     -6.022503     -6.022503
   2.41316     -6.029618     -6.029618
   2.38359     -6.036401     -6.036401
   2.35401     -6.043776     -6.043776
   2.32444     -6.050333     -6.050333
   2.29487     -6.062452     -6.062452
   2.26529     -6.074146     -6.074146
   2.23572     -6.083904     -6.083904
   2.20615     -6.091567     -6.091567
   2.17657     -6.087568     -6.087568
   2.14700     -6.077717     -6.077717
   2.11743     -6.074525     -6.074525
   2.11743     -6.074525     -6.074525
   2.10070     -6.074734     -6.074734
   2.08397     -6.075207     -6.075207
   2.06724     -6.076250     -6.076250
   2.05051     -6.077694     -6.077694
   2.03378     -6.079841     -6.079841
   2.01705     -6.082071     -6.082071
   2.00032     -6.084660     -6.084660
   1.98359     -6.087430     -6.087430
   1.96686     -6.090722     -6.090722
   1.95013     -6.094256     -6.094256
   1.93340     -6.098053     -6.098053
   1.91667     -6.102265     -6.102265
   1.89994     -6.106499     -6.106499
   1.88321     -6.110909     -6.110909
   1.86648     -6.115461     -6.115461
   1.84976     -6.120125     -6.120125
   1.83303     -6.124874     -6.124874
   1.81630     -6.129310     -6.129310
   1.79957     -6.134969     -6.134969
   1.78284     -6.139790     -6.139790
   1.76611     -6.144566     -6.144566
   1.74938     -6.149301     -6.149301
   1.73265     -6.153897     -6.153897
   1.71592     -6.158360     -6.158360
   1.69919     -6.162663     -6.162663
   1.68246     -6.166782     -6.166782
   1.66573     -6.170693     -6.170693
   1.64900     -6.173845     -6.173845
   1.63227     -6.177283     -6.177283
   1.61554     -6.180446     -6.180446
   1.59881     -6.183322     -6.183322
   1.58209     -6.185896     -6.185896
   1.56536     -6.188154     -6.188154
   1.54863     -6.190085     -6.190085
   1.53190     -6.191679     -6.191679
