 #Energy    XX(cm^-1)       YY(cm^-1)      ZZ(cm^-1)       XY(cm^-1)       YZ(cm^-1)       XZ(cm^-1)
  4.8642  0.13949893E+07  0.13949893E+07  0.13949893E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  4.8941  0.13795735E+07  0.13795735E+07  0.13795735E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  4.9239  0.13728199E+07  0.13728199E+07  0.13728199E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  4.9537  0.13750263E+07  0.13750263E+07  0.13750263E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  4.9836  0.13856564E+07  0.13856564E+07  0.13856564E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  5.0134  0.14032882E+07  0.14032882E+07  0.14032882E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  5.0433  0.14260394E+07  0.14260394E+07  0.14260394E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  5.0731  0.14516601E+07  0.14516601E+07  0.14516601E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  5.1030  0.14780162E+07  0.14780162E+07  0.14780162E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  5.1328  0.15031011E+07  0.15031011E+07  0.15031011E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  5.1626  0.15254034E+07  0.15254034E+07  0.15254034E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  5.1925  0.15438982E+07  0.15438982E+07  0.15438982E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  5.2223  0.15580236E+07  0.15580236E+07  0.15580236E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  5.2522  0.15678685E+07  0.15678685E+07  0.15678685E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  5.2820  0.15738847E+07  0.15738847E+07  0.15738847E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  5.3118  0.15770286E+07  0.15770286E+07  0.15770286E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  5.3417  0.15785155E+07  0.15785155E+07  0.15785155E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  5.3715  0.15796009E+07  0.15796009E+07  0.15796009E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  5.4014  0.15816149E+07  0.15816149E+07  0.15816149E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  5.4312  0.15855695E+07  0.15855695E+07  0.15855695E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  5.4611  0.15922266E+07  0.15922266E+07  0.15922266E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  5.4909  0.16017932E+07  0.16017932E+07  0.16017932E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  5.5207  0.16140389E+07  0.16140389E+07  0.16140389E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  5.5506  0.16282509E+07  0.16282509E+07  0.16282509E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  5.5804  0.16432268E+07  0.16432268E+07  0.16432268E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  5.6103  0.16575577E+07  0.16575577E+07  0.16575577E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  5.6401  0.16696028E+07  0.16696028E+07  0.16696028E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  5.6699  0.16779176E+07  0.16779176E+07  0.16779176E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  5.6998  0.16813411E+07  0.16813411E+07  0.16813411E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  5.7296  0.16791917E+07  0.16791917E+07  0.16791917E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  5.7595  0.16715981E+07  0.16715981E+07  0.16715981E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  5.7893  0.16593948E+07  0.16593948E+07  0.16593948E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  5.8192  0.16443782E+07  0.16443782E+07  0.16443782E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  5.8490  0.16288471E+07  0.16288471E+07  0.16288471E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  5.8788  0.16155418E+07  0.16155418E+07  0.16155418E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  5.9087  0.16070120E+07  0.16070120E+07  0.16070120E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  5.9385  0.16051081E+07  0.16051081E+07  0.16051081E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
